Price,Brand_Apple,Brand_Huawei,Brand_Samsung,Brand_Sony,Brand_Xiaomi,Is_iOS,Is_Android,Original_Price_HKD,Storage_GB,Months_Since_Release,Condition_Percentage,Condition_Score,Battery_Health_Percent,Battery_Cycle_Count,Seller_Years,Days_Since_Posted,Post_Recency_Log,image_count,seller_reviews_count,Seller_Reputation_Index,Is_Working,Is_MTR_Trade,Has_Warranty,Has_Box,Has_Receipt,Has_Accessories,Is_Firm_Price,Is_Urgent_Sale,Is_Premium_Tier,Has_Repair_History,Has_Crack_Or_Line,Has_Dual_SIM,Has_Brand_Keyword_Mismatch,Description_Length,Price_Diff_Original_Minus_Price_HKD,Product_Origin_Imported,Product_Origin_Mixed,Product_Origin_Official,Product_Origin_Unknown,Storage_Tier_129-256,Storage_Tier_257-512,Storage_Tier_<=128,Storage_Tier_>512,Storage_Tier_Unknown
6200.0,1,0,0,0,0,1,0,10199.0,256.0,19.0,9.0,4,95.0,29.0,5,0.0,0.0,5,7,10.39720770839918,0,1,1,0,0,0,0,0,0,0,0,0,0,149,3999.0,0,0,1,0,1,0,0,0,0
2880.0,1,0,0,0,0,1,0,5999.0,512.0,43.0,98.0,4,95.0,29.0,10,120.0,0.0,8,2288,38.67935159976283,1,0,0,0,0,1,0,0,0,0,0,0,0,223,3119.0,0,0,0,1,0,1,0,0,0
8500.0,1,0,0,0,0,1,0,7899.0,256.0,49.0,100.0,1,100.0,79.0,10,7.0,2.0794415416798357,10,110,23.07669798643044,0,0,0,0,0,0,0,0,0,0,0,0,0,125,-601.0,1,0,0,0,1,0,0,0,0
11100.0,1,0,0,0,0,1,0,7899.0,512.0,49.0,98.0,4,95.0,16.0,9,3.0,1.3862943611198906,3,76,21.284646567083055,0,0,0,1,0,0,0,0,0,0,0,0,0,58,-3201.0,0,0,1,0,0,1,0,0,0
6250.0,1,0,0,0,0,1,0,10199.0,256.0,19.0,9.0,4,95.0,29.0,9,0.0,0.0,5,20,15.222612188617116,0,0,1,0,0,1,0,0,0,0,0,1,0,385,3949.0,0,1,0,0,1,0,0,0,0
1780.0,1,0,0,0,0,1,0,7599.0,256.0,67.0,100.0,4,94.0,29.0,0,11.0,2.4849066497880004,2,2,5.493061443340549,1,1,1,0,0,1,0,0,0,0,0,0,0,1160,5819.0,0,0,0,1,1,0,0,0,0
5750.0,1,0,0,0,0,1,0,10199.0,512.0,19.0,98.0,4,95.0,29.0,6,60.0,4.110873864173311,5,5,8.242093558449053,0,1,0,0,0,0,0,0,0,0,0,0,0,13,4449.0,0,0,0,1,0,1,0,0,0
5990.0,1,0,0,0,0,1,0,10199.0,256.0,19.0,96.0,4,95.0,29.0,2,3.0,1.3862943611198906,9,109,23.032353792382843,0,1,0,0,0,0,0,0,0,0,0,1,0,360,4209.0,1,0,0,0,1,0,0,0,0
3800.0,1,0,0,0,0,1,0,8599.0,256.0,31.0,98.0,4,95.0,29.0,0,17.0,2.8903717578961645,5,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,18,4799.0,0,0,0,1,1,0,0,0,0
2000.0,1,0,0,0,0,1,0,7599.0,256.0,67.0,84.0,4,84.0,29.0,9,5.0,1.791759469228055,9,389,27.444274999968982,1,1,0,0,0,0,1,0,0,0,0,0,0,105,5599.0,0,0,1,0,1,0,0,0,0
